"pl_id";"l_name";"f_name";"pl_name";"t_id";"p_id";"pl_num";"p_code";"p_name";"p_target";"t_code"
"1";"GARCIA";"SANTIAGO";"GARCIA, SANTIAGO";"8";"1";"76";"G";"Goalkeeper";"3";"U12"
"2";"RODRIGUEZ";"SANTIAGO";"RODRIGUEZ, SANTIAGO";"7";"2";"81";"D";"Defender";"7";"U13"
"3";"MARTINEZ";"SANTIAGO";"MARTINEZ, SANTIAGO";"12";"2";"36";"D";"Defender";"7";"U08"
"4";"HERNANDEZ";"SANTIAGO";"HERNANDEZ, SANTIAGO";"4";"2";"37";"D";"Defender";"7";"U16"
"5";"LOPEZ";"SANTIAGO";"LOPEZ, SANTIAGO";"4";"4";"27";"F";"Forward";"6";"U16"
"6";"GONZALEZ";"SANTIAGO";"GONZALEZ, SANTIAGO";"6";"3";"5";"M";"Midfielder";"9";"U14"
"7";"PEREZ";"SANTIAGO";"PEREZ, SANTIAGO";"6";"2";"64";"D";"Defender";"7";"U14"
"8";"SANCHEZ";"SANTIAGO";"SANCHEZ, SANTIAGO";"6";"2";"5";"D";"Defender";"7";"U14"
"9";"RAMIREZ";"SANTIAGO";"RAMIREZ, SANTIAGO";"5";"1";"11";"G";"Goalkeeper";"3";"U15"
"10";"TORRES";"SANTIAGO";"TORRES, SANTIAGO";"5";"2";"28";"D";"Defender";"7";"U15"
"11";"FLORES";"SANTIAGO";"FLORES, SANTIAGO";"6";"1";"24";"G";"Goalkeeper";"3";"U14"
"12";"RIVERA";"SANTIAGO";"RIVERA, SANTIAGO";"8";"1";"55";"G";"Goalkeeper";"3";"U12"
"13";"GOMEZ";"SANTIAGO";"GOMEZ, SANTIAGO";"5";"2";"66";"D";"Defender";"7";"U15"
"14";"DIAZ";"SANTIAGO";"DIAZ, SANTIAGO";"6";"1";"82";"G";"Goalkeeper";"3";"U14"
"15";"GARCIA";"SEBASTIÁN";"GARCIA, SEBASTIÁN";"1";"3";"32";"M";"Midfielder";"9";"S"
"16";"RODRIGUEZ";"SEBASTIÁN";"RODRIGUEZ, SEBASTIÁN";"1";"4";"94";"F";"Forward";"6";"S"
"17";"MARTINEZ";"SEBASTIÁN";"MARTINEZ, SEBASTIÁN";"2";"1";"5";"G";"Goalkeeper";"3";"U18"
"18";"HERNANDEZ";"SEBASTIÁN";"HERNANDEZ, SEBASTIÁN";"12";"1";"95";"G";"Goalkeeper";"3";"U08"
"19";"LOPEZ";"SEBASTIÁN";"LOPEZ, SEBASTIÁN";"4";"4";"44";"F";"Forward";"6";"U16"
"20";"GONZALEZ";"SEBASTIÁN";"GONZALEZ, SEBASTIÁN";"12";"1";"62";"G";"Goalkeeper";"3";"U08"
"21";"PEREZ";"SEBASTIÁN";"PEREZ, SEBASTIÁN";"8";"2";"75";"D";"Defender";"7";"U12"
"22";"SANCHEZ";"SEBASTIÁN";"SANCHEZ, SEBASTIÁN";"8";"3";"18";"M";"Midfielder";"9";"U12"
"23";"RAMIREZ";"SEBASTIÁN";"RAMIREZ, SEBASTIÁN";"13";"3";"25";"M";"Midfielder";"9";"U07"
"24";"TORRES";"SEBASTIÁN";"TORRES, SEBASTIÁN";"8";"2";"14";"D";"Defender";"7";"U12"
"25";"FLORES";"SEBASTIÁN";"FLORES, SEBASTIÁN";"2";"1";"35";"G";"Goalkeeper";"3";"U18"
